entity_id,provider_name,google_primary_category,current_leaf_slug,proposed_leaf,proposer,bucket,cause,twin_of,dept_hint
dc07b788-a36c-45d3-8ecd-a7dd3c2504f9,Liberty Props & Welding LLC,,,,,A,a,,auto-rv-fuel
23742b60-f6f3-4d30-bab2-b25d87076442,Mark's Marine Service LLC,,,,,A,a,,on-the-water
538348aa-1e7a-4af0-adc6-636d19e29a33,Martini Bay,bar_and_grill,,,,A,a,,eat-drink
62254956-b7d2-4359-89c3-5162a1e124ef,McKee's Pub & Grill,bar_and_grill,,,,A,a,,eat-drink
eebbdcff-bdf5-4a8a-8497-0e6c6c002814,Memory Magic,service,,,,A,a,,professional-services
da0ea854-66d1-43d7-a638-14d64cb33c00,Metro Tax & Financial Services Inc,consultant,,,,A,a,,professional-services
ded03f70-e13a-4e2a-b493-3bf9793822e4,Mighty Mobile Power Washing,,,pressure-washing-and-exterior-cleaning,name_rule_mono,A,a,,
cdfcbc32-3eb9-4f25-b25e-991bceae7602,Mohave Garage Door,,,garage-doors,name_rule_mono,A,a,,
1d917dad-a66b-4829-987d-b6d5c4126480,NSC Certified Public Accountants LLC,consultant,,,,A,a,,professional-services
e155f2ea-eb66-4abf-a843-233fa6e81b33,Outdoor Elements,,,,,A,a,,home-property-services
70a84b6c-167c-4243-97b9-418d8f849780,River Palm Landscaping,,,,,A,a,,home-property-services
93e16ea6-f803-4474-bad7-604396e94b1a,Robyn Parrott Park,,,,,A,a,,outdoors-parks-trails
088db841-315e-4ff8-9c0c-a828e483c73e,Safelite AutoGlass,,,auto-glass,name_rule_mono,A,a,,
631c88bc-339c-4348-8367-86a08ce6340f,SafePro Auto Glass,,,auto-glass,name_rule_mono,A,a,,
8d42f8ca-4bef-4432-9d7f-96cb2f7d4bca,Sandbar Watersports,,,,,A,a,,on-the-water
439cac23-d6ef-452e-8a06-59c153361ed7,Screenworks,,,,,A,a,,home-property-services
290986a1-246b-464f-b04a-14342b5d80ba,Shade Broz Tinting,,,window-tint-and-wraps,name_rule_mono,A,a,,
f1f60c84-60d9-484a-a805-7cca20319323,Skin and Cancer Institute,,,,,A,a,,health-wellness-care
33b515c3-6965-4c35-a84b-10eccd27a42f,Tavern 95,bar_and_grill,,,,A,a,,eat-drink
0c70f6e6-ce08-4473-b9ed-8b17d301cc71,Tech One Racing,,,,,A,a,,on-the-water
b76c5148-4914-414c-b9a9-6b958f628e2d,The 928 Group,service,,,,A,a,,professional-services
ed0d4fd5-8028-41e7-9747-1091676dbfb3,The Foundry Plates & Spirits,,,,,A,a,,eat-drink
74ba05e1-4b6e-47a2-a9aa-eb8a84a06e8e,Turtle Grille,bar_and_grill,,,,A,a,,eat-drink
6f6f438e-cd96-4f1c-8156-3f15e32c8754,U-Haul Moving & Storage,,,,,A,a,,home-property-services
250cc8f0-dfb2-4591-8c14-c1ee118f54bd,Unique Trailers,,,,,A,a,,auto-rv-fuel
601440b3-cf1b-4cd1-8894-d012437bc9b2,UNlimited RE Property Management,,,property-management,name_rule_mono,A,a,,
499750aa-348e-4706-8c1a-86c704a4a7a4,Walmart Auto Care Center,,,,,A,a,,auto-rv-fuel
de5c5a5b-b48a-4bc6-a448-1bde78776188,Walmart Supercenter (grocery),,,,,A,a,,shopping-essentials
933ce742-4ffc-459b-b692-393a5ba88d07,Win Win Bingo Casino,,,,,A,a,,events
40380464-4572-4a34-bd70-c9efda2e54bf,Windsor Inn Lake Havasu City,,,,,A,a,,lodging-vacation-rentals
e60103cb-9d4f-4f34-9531-47a31797ea3a,Adventure Vacation Rentals,,lodging-vacation-rentals,,,A,b,,lodging-vacation-rentals
