id,provider_name,old_address
d68888f4-b606-4b2a-8a33-d84cecc3fd80,Lighthouses,"PO Box 3704, Lake Havasu City, AZ 86405"
d9c7071e-2cd3-4fd2-9791-c1d6fe7c033a,Grand Canyon West,"PO Box 246, Peach Springs, AZ 86434"
1d0460b4-7c2c-46a2-b340-143eb57f2d2e,Lake Havasu State Park Campground,"FJJV+WM, Lake Havasu City, AZ 86403, USA"
c066f037-bba3-484b-a00b-bacd2035588e,Riverside Boat Dock Sales,"PO Box 4481, Lake Havasu City, AZ 86405, USA"
96d0efd6-b176-48ac-9771-76041a721585,Marina Fuel Station - Havasu Riviera Marina,"CMVH+9G, Lake Havasu City, AZ 86406, USA"
